,Instance,Model,X,Y,R_sq_log,Score
255,SSHH7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.07328861  0.48849454]
 [ 0.0605672   0.49820659]
 [ 0.04569114  0.50638779]
 ...
 [-0.04569114 -0.50638779]
 [-0.0605672  -0.49820659]
 [-0.07328861 -0.48849454]]","[[6.21346511]
 [4.60468718]
 [7.09905479]
 ...
 [6.15046205]
 [6.00995541]
 [6.53850022]]",1.509201043874381
256,SSHH7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.23528378  0.73640607]
 [-0.20854929  0.73468891]
 [-0.18228535  0.73264048]
 ...
 [ 0.18192764 -0.73275315]
 [ 0.20839964 -0.73473604]
 [ 0.23507892 -0.73615531]]","[[4.82958482]
 [3.42527046]
 [5.0262569 ]
 ...
 [4.83253721]
 [4.56740104]
 [4.30342671]]",1.3600159370778786
257,SSHH7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.08179518 -0.01982322]
 [ 0.0884503  -0.03193161]
 [ 0.09675871 -0.04578625]
 ...
 [ 1.09314552  0.14151826]
 [ 1.10145393  0.12766362]
 [ 1.10810904  0.11555523]]","[[5.53349926]
 [3.8857315 ]
 [6.51540224]
 ...
 [4.31111779]
 [5.66547351]
 [6.31472043]]",1.3304551220710144
258,SSHH7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 12.5470798  -39.28035507]
 [ 13.25813296 -38.40479663]
 [ 14.02320698 -37.49431208]
 ...
 [-13.53685258  37.18821968]
 [-12.75034981  38.11827676]
 [-12.04975643  38.95296974]]","[[0.07351001]
 [0.04431313]
 [0.08699479]
 ...
 [0.00266939]
 [0.08418989]
 [0.19203358]]",0.07692934574882597
259,SSHH7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 2.91525354  4.27200519]
 [ 2.62032626  4.68601256]
 [ 2.52345627  4.81253641]
 ...
 [ 2.36679733 -1.75046737]
 [ 2.35998821 -1.46749914]
 [ 2.36590979 -1.11348931]]","[[9.11762049]
 [6.78368316]
 [9.53864169]
 ...
 [1.94165664]
 [0.67482456]
 [2.87112929]]",1.5125002832051218
260,SCEE7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.35578216  0.19138524]
 [-0.32984828  0.1919966 ]
 [-0.30325826  0.19260492]
 ...
 [ 0.36932004  0.27152033]
 [ 0.39591006  0.27212865]
 [ 0.42184394  0.27274   ]]","[[5.32947116]
 [2.52569747]
 [4.25417408]
 ...
 [3.58273984]
 [2.965023  ]
 [5.68848117]]",1.0157266302911383
261,SCEE7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.34565385  0.16607292]
 [-0.32391893  0.17473724]
 [-0.30299625  0.18226552]
 ...
 [ 0.35881152  0.34675512]
 [ 0.38075362  0.34909472]
 [ 0.40263622  0.35215454]]","[[5.81061571]
 [6.00602134]
 [4.1385867 ]
 ...
 [3.36992044]
 [3.90894574]
 [5.62692702]]",1.8391487631861778
262,SCEE7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.11903548  0.03301918]
 [ 0.14630109  0.02880901]
 [ 0.17401555  0.02409654]
 ...
 [ 0.80148097 -0.2420627 ]
 [ 0.82919543 -0.24677516]
 [ 0.85646104 -0.25098533]]","[[5.43908909]
 [3.17966141]
 [3.46852848]
 ...
 [1.4397248 ]
 [3.16592036]
 [5.47335069]]",1.2126388430699673
263,SCEE7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[  2.29930177  26.88189726]
 [  1.47419506  26.18013086]
 [  0.42619756  25.55351355]
 ...
 [-23.54031815 -16.69758541]
 [-23.8548179  -17.84562619]
 [-24.13649702 -18.83468084]]","[[0.2047386 ]
 [0.15377689]
 [0.32816087]
 ...
 [0.05131263]
 [0.04911238]
 [0.2399038 ]]",0.520967210074546
264,SCEE7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 7.19093127  8.36440988]
 [ 8.07899744  7.53366345]
 [ 8.33390531  6.89896773]
 ...
 [10.52753318  2.7650553 ]
 [10.41495634  2.86178308]
 [10.37533011  2.9653537 ]]","[[8.4120974 ]
 [0.83364229]
 [2.18664123]
 ...
 [3.33374537]
 [3.25968137]
 [3.11453236]]",1.4564786660916065
265,SCEH7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.4655738  -0.07071326]
 [ 0.43926626 -0.07051132]
 [ 0.41232221 -0.07031375]
 ...
 [-0.6993111   0.02494412]
 [-0.72625515  0.02514168]
 [-0.75256269  0.02534362]]","[[5.64547939]
 [2.67520856]
 [4.30989275]
 ...
 [3.10216174]
 [4.47722693]
 [5.79652159]]",1.3201469748941925
266,SCEH7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.57010032  0.1187646 ]
 [ 0.53625354  0.12172222]
 [ 0.5019759   0.12306749]
 ...
 [-0.79287303 -0.04884146]
 [-0.82456044 -0.05004256]
 [-0.85592413 -0.0532644 ]]","[[4.13542757]
 [4.32345118]
 [3.58812623]
 ...
 [4.94852531]
 [5.46008169]
 [6.1274779 ]]",1.8460220462528987
267,SCEH7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.10877486  0.05616061]
 [ 0.13698249  0.05694774]
 [ 0.16567755  0.05728987]
 ...
 [ 1.27376965 -0.05918562]
 [ 1.30246471 -0.05884349]
 [ 1.33067234 -0.05805636]]","[[5.65741587]
 [3.0678993 ]
 [2.96666856]
 ...
 [3.83808496]
 [4.37222583]
 [5.79947099]]",1.55298086353704
268,SCEH7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-20.04556026 -29.39052105]
 [-18.75377261 -28.6533192 ]
 [-17.28422786 -27.72869931]
 ...
 [ 26.14197023  39.86627977]
 [ 26.7880061   41.15475955]
 [ 27.41826019  42.22468891]]","[[0.08955378]
 [0.01971851]
 [0.14164452]
 ...
 [0.03624646]
 [0.02964523]
 [0.01958705]]",0.6032083111123397
269,SCEH7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 5.45193589  7.09108014]
 [ 6.63239641  7.38176599]
 [ 7.02048909  6.99363969]
 ...
 [12.84713437  5.61286422]
 [12.63456322  5.51668312]
 [12.45858335  5.42431388]]","[[9.54195034]
 [4.19665581]
 [8.76149996]
 ...
 [1.85166081]
 [2.07789467]
 [2.66364168]]",1.564182107942919
270,SCHE7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.25910382  0.17041309]
 [-0.24765556  0.1652048 ]
 [-0.23372346  0.16024326]
 ...
 [ 0.28881321  0.29003201]
 [ 0.30274531  0.28507047]
 [ 0.31419357  0.27986218]]","[[5.97949745]
 [3.9604079 ]
 [6.36676592]
 ...
 [5.1245869 ]
 [6.02886685]
 [6.1154853 ]]",1.4353561595882671
271,SCHE7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[-0.40420718  0.30226287]
 [-0.37338572  0.28863053]
 [-0.34112887  0.27639099]
 ...
 [ 0.4116248   0.43638297]
 [ 0.44695852  0.42758833]
 [ 0.4748813   0.4155658 ]]","[[5.46160111]
 [3.19989616]
 [4.4866358 ]
 ...
 [3.89595767]
 [4.80192877]
 [5.73801101]]",1.5316072040085067
272,SCHE7,TruncatedSVD,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.07622712  0.03348583]
 [ 0.08608863  0.02849014]
 [ 0.098216    0.02244188]
 ...
 [ 0.54852821 -0.26041537]
 [ 0.56065558 -0.26646363]
 [ 0.57051709 -0.27145932]]","[[5.83828327]
 [4.42855571]
 [6.43589808]
 ...
 [4.66925897]
 [6.33229466]
 [6.27947926]]",1.3251713592972332
273,SCHE7,TSNE,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 24.87693415  27.42287712]
 [  5.8667013   16.51691504]
 [-13.52980421   5.73178109]
 ...
 [ 23.18773205 -16.89936233]
 [  2.96837213 -24.346092  ]
 [  2.61973085 -23.79015508]]","[[ 0.97567728]
 [ 0.49376562]
 [ 4.62914852]
 ...
 [13.82057397]
 [ 3.96719905]
 [ 8.04408787]]",0.4116344338593054
274,SCHE7,UMAP,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 5.80831046  5.57605042]
 [ 5.64263623  6.05343018]
 [ 5.54108116  6.22913231]
 ...
 [11.29666891  9.96877325]
 [10.98794345 10.09216135]
 [10.55735183 10.1724391 ]]","[[15.4251676 ]
 [ 4.54660611]
 [ 4.04101525]
 ...
 [ 1.59859998]
 [ 1.61543822]
 [ 2.7541254 ]]",1.5106554098528078
275,SCHH7,PCA,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.35686075 -0.02909148]
 [ 0.34875242 -0.05868448]
 [ 0.33805672 -0.0875133 ]
 ...
 [-0.57727541 -0.08333922]
 [-0.58797111 -0.11216804]
 [-0.59607944 -0.14176103]]","[[ 9.12220983]
 [11.21362508]
 [13.61072253]
 ...
 [ 6.44306685]
 [ 6.86021386]
 [ 9.05374436]]",1.9224304544822373
276,SCHH7,Isomap,"[[0.05   0.05  ]
 [0.0725 0.05  ]
 [0.095  0.05  ]
 ...
 [0.905  0.95  ]
 [0.9275 0.95  ]
 [0.95   0.95  ]]","[[ 0.49318211 -0.14071925]
 [ 0.49283934 -0.15869588]
 [ 0.48568529 -0.16143626]
 ...
 [-0.78260269  0.05581762]
 [-0.81470318  0.05682683]
 [-0.84629042  0.06017515]]","[[7.33328733]
 [8.20724921]
 [5.52556104]
 ...
 [4.19385793]
 [3.18676628]
 [5.82561328]]",1.7870970323498165
